pupilid,tracking,girl,agetest,bottomhalf,percentile,totalscore,act_track
8971003,1,1,9,1,3.90625,3.05,1
8971004,1,1,9,1,5.46875,13.48571,1
8971005,1,0,10,1,7.03125,0.6,1
8971006,1,1,,1,8.59375,,1
8971007,1,0,8,1,10.15625,0.9214286,1
8971008,1,1,9,1,11.71875,14.59286,1
8971009,1,0,8,1,13.28125,6.657143,1
8971011,1,1,8,1,17.96875,9.135715,1
8971012,1,1,11,1,21.09375,8.685715,1
8971013,1,0,8,1,20.3125,,1
8971014,1,1,9,1,20.3125,,1
8971015,1,1,8,1,22.65625,17.40714,1
8971016,1,1,9,1,24.21875,9.25,1
8971017,1,1,7,1,25.78125,,1
8971018,1,1,10,1,27.34375,11.21429,1
8971019,1,1,8,1,28.90625,4.878572,1
8971020,1,1,9,1,30.46875,0,1
8971021,1,1,8,1,32.03125,1,1
8971023,1,1,10,1,35.15625,1.314286,1
8971024,1,1,10,1,36.71875,24.41429,1
8971025,1,1,10,1,38.28125,7.257143,1
8971026,1,1,10,1,40.625,20.3,1
8971027,1,1,10,1,42.96875,11.14286,1
8971028,1,0,10,1,42.1875,13.42857,1
8971029,1,0,11,1,44.53125,13.72143,1
8971030,1,1,,1,46.09375,,1
8971031,1,1,9,1,47.65625,16.90714,1
8971032,1,0,11,0,50.78125,9.942858,0
8981002,0,1,11,0,82.01755,12.32857,0
8981006,0,1,8,0,98.68421,19.58571,0
8981010,0,0,8,1,48.24561,14.73571,0
8981012,0,1,10,0,56.57895,1.457143,0
8981014,0,1,9,1,7.456136,4.592857,0
8981018,0,1,8,1,1.31579,2.335714,0
8981026,0,1,9,0,99.5614,26.11428,0
8981032,0,0,10,1,6.140351,5.857143,0
8981034,0,0,9,1,39.47368,9.142857,0
8981036,0,0,8,1,47.36842,11.38571,0
8981042,0,0,10,1,11.84211,0.0857143,0
8981044,0,0,9,0,75.4386,11.83571,0
8981053,0,0,,0,78.94736,,0
8981057,0,1,10,0,54.82456,7.885715,0
8981059,0,1,7,0,71.92982,17.93571,0
8981062,0,1,9,1,25.43859,1.514286,0
8981070,0,1,9,0,64.03509,,0
8981072,0,1,8,0,66.22807,,0
8981076,0,0,8,0,90.35088,14.74286,0
8981082,0,0,10,1,31.57895,0.5785714,0
8981086,0,0,8,1,46.05264,4.171429,0
8981090,0,0,10,1,9.649122,0.3428572,0
8981092,0,0,10,1,28.07018,6.714286,0
8981098,0,0,10,0,69.73685,8.507143,0
8981102,0,1,8,0,76.31579,22.84286,0
8981103,0,0,10,0,50.87719,13,0
8981104,0,1,8,1,39.47368,,0
8981112,0,1,,1,19.29824,,0
8981118,0,0,10,1,5.263156,0.2571429,0
8991001,0,1,7,0,99.63768,30.6,0
8991005,0,1,13,0,93.11594,,0
8991007,0,1,9,0,89.13043,19.23571,0
8991009,0,1,9,0,87.68116,15.47143,0
8991015,0,1,8,0,82.6087,25.49286,0
8991023,0,1,8,0,73.18841,27.75714,0
8991025,0,1,10,0,69.92754,14.02143,0
8991029,0,1,8,0,65.21739,15.03571,0
8991031,0,1,8,0,63.4058,23.86428,0
8991037,0,1,8,1,49.27536,17.64286,0
8991047,0,1,7,1,33.69565,13.11429,0
8991049,0,1,8,1,29.71014,17.6,0
8991055,0,1,10,1,30.43478,3.25,0
8991059,0,1,7,1,10.50724,0.8571429,0
8991070,0,0,9,0,96.37681,23.96429,0
8991072,0,0,11,0,94.56522,8.028572,0
8991076,0,0,10,0,86.23189,,0
8991080,0,0,9,0,76.81159,,0
8991088,0,0,9,0,64.49275,10.39286,0
8991094,0,0,9,0,55.07246,3.5,0
8991096,0,0,8,0,54.34782,,0
8991104,0,0,11,1,43.47826,24.75714,0
8991112,0,0,9,1,34.78261,6.25,0
8991114,0,0,8,1,31.52174,5.471429,0
8991116,0,0,10,1,25.36232,8.9,0
8991118,0,0,9,1,23.91304,,0
8991120,0,0,10,1,21.73913,3.278571,0
8991130,0,0,11,1,6.159419,,0
9381005,0,1,10,1,45.04132,16.54286,0
9381007,0,1,10,0,70.66116,11.6,0
9381009,0,1,7,1,35.53719,7.2,0
9381011,0,1,7,0,53.71901,18.47143,0
9381017,0,1,10,0,65.28925,16.45,0
9381019,0,1,9,1,1.239669,0,0
9381033,0,1,9,0,65.28925,4.185714,0
9381039,0,1,8,0,59.50414,,0
9381043,0,1,12,0,50.82645,17.91429,0
9381049,0,1,9,1,41.32232,7.014286,0
9381053,0,1,,1,43.38843,,0
9381055,0,1,8,1,35.53719,25.57143,0
